,CLUSTERING_kmeans
college,"'n_clusters': 8
 'max_iter': 300
 'n_init': 'auto'
 'init': 'k-means++'
 'algorithm': 'auto'
 'tol': 0.0001
 'C': 1.0
 'penalty': 'l2'
 'solver': 'liblinear'"
water,"'n_clusters': 16
 'max_iter': 300
 'n_init': 20
 'init': 'k-means++'
 'algorithm': 'auto'
 'tol': 0.0001
 'C': 0.1
 'penalty': 'l1'
 'solver': 'liblinear'"
stroke,"'n_clusters': 8
 'max_iter': 300
 'n_init': 10
 'init': 'k-means++'
 'algorithm': 'auto'
 'tol': 0.0001
 'C': 0.01
 'penalty': 'l1'
 'solver': 'saga'"
adult,"'n_clusters': 8
 'max_iter': 300
 'n_init': 10
 'init': 'k-means++'
 'algorithm': 'auto'
 'tol': 0.0001
 'C': 10.0
 'penalty': 'l2'
 'solver': 'saga'"
car,
student,
productivity,
medical,
crimes,
crab,
wine,
bike,
housing,
diamond,
